05/17/2013, DISORDERLY CONDUCT, 05/17/2013, 01:02, Location, Closed by Arrest, 0213001276-OF
06/23/2013, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 06/23/2013, 15:23, 1035 CHAPEL ST, Open, 0213001588-OF
06/23/2013, WARRANT SERVICE, 06/23/2013, 15:23, 330 COLLEGE ST, Closed by Arrest, 0113010220-OF
06/24/2013, THEFT-GREATER-BICYCLES, 06/24/2013, 01:02, 163 DWIGHT ST, Closed, 0113028823-OF
06/24/2013, HARASSMENT, 06/24/2013, 20:45, 307 HUMPHREY ST, Closed, 0213001599-OF
06/25/2013, ROBBERY-STRT-NO WEAPON, 06/24/2013, 23:03, 70 TOWER PKY, Closed, 0213001600-OF
06/25/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 06/20/2013, 09:39, 800 HOWARD AVE, Open, 0213001558-OF
06/25/2013, HARASSMENT, 03/21/2013, 14:15, 79 HOWE ST, Closed, 0213000743-OF
06/26/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 06/26/2013, 11:30, 230 SOUTH FRONTAGE RD, Open, 0213001610-OF
06/26/2013, BREACH OF PEACE, 06/26/2013, 19:55, 190 YORK ST, Closed by Arrest, 0113029230-OF
06/27/2013, CRIMINAL TRESPASS, 06/26/2013, 22:42, 500 COLLEGE ST, Closed by Arrest, 0213001615-OF
06/27/2013, OTHER INVESTIGATION, 06/27/2013, 15:38, 1 PROSPECT ST, Open, 0213001623-OF
06/27/2013, OTHER LIQUOR OFFENSES, 06/27/2013, 16:34, 90 HOWE ST, Closed, 0113029346-OF
06/27/2013, OTHER INVESTIGATION, 06/26/2013, 13:20, 1080 CHAPEL ST, Closed, 0213001626-OF
06/27/2013, THEFT-GREATER-FROM PERSON, 06/27/2013, 19:57, 247 COLLEGE ST, Closed by Arrest, 0113029406-OF
06/28/2013, WARRANT SERVICE, 06/28/2013, 02:00, GOFFE ST, Closed by Arrest, 0113017376-OF
06/28/2013, POSSESSION OF MARIJUANA, 06/28/2013, 20:16, ELM ST, Closed by Arrest, 0113029584-OF
06/28/2013, BREACH OF PEACE, 06/28/2013, 20:43, 320 YORK ST, Closed by Arrest, 0213001636-OF
06/28/2013, THEFT-BICYCLE, 06/24/2013, 20:34, 135 COLLEGE ST, Closed, 0213001598-OF
06/29/2013, WARRANT SERVICE, 06/29/2013, 04:51, ELM ST, Closed by Arrest, 0110068798-OF
06/29/2013, FOUND ANIMAL, 06/29/2013, 17:49, 100 CHURCH S ST, Closed, 0213001642-OF
06/30/2013, CONFIDENCE-FLIM FLAM, 06/30/2013, 01:52, 475 COLLEGE ST, Closed, 0113029820-OF
06/30/2013, THEFT-BICYCLE, 06/29/2013, 18:57, 210 PARK ST, Closed by Arrest, 0113029770-OF
06/30/2013, POSSESSION OF NARCOTICS-GENERAL, 06/30/2013, 00:31, 304 YORK ST, Closed by Arrest, 0213001643-OF
07/01/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/01/2013, 10:28, 110 WALL ST, Open, 0213001657-OF
07/01/2013, OTHER INVESTIGATION, 07/01/2013, 15:42, 221 WHITNEY AVE, Closed, 0213001661-OF
07/01/2013, CRIMINAL SIMULATION, 07/01/2013, 15:53, 1068 CHAPEL ST, Closed, 0113030013-OF
07/01/2013, THEFT-GREATER-BICYCLES, 07/01/2013, 20:05, 15 HIGH ST, Closed, 0213001664-OF
07/02/2013, POSSESSION OF ALCOHOL BY A MINOR, 07/02/2013, 00:01, 257 GROVE ST, Closed by Arrest, 0113030104-OF
07/02/2013, CRIMINAL TRESPASS, 07/02/2013, 05:54, 180 YORK ST, Closed, 0213001670-OF
07/02/2013, THEFT-GREATER-BICYCLES, 07/02/2013, 18:58, 79 HOWE ST, Open, 0213001675-OF
07/02/2013, BREACH OF PEACE, 07/02/2013, 20:47, 133 YORK ST, Closed by Arrest, 0113030283-OF
07/03/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 06/22/2013, 00:01, 520 W CAMPUS DR, Closed, WH13-25425-OF
07/04/2013, POSSESSION OF MARIJUANA, 07/04/2013, 00:26, YORK ST, Closed by Arrest, 0113030464-OF
07/04/2013, POSSESSION OF NARCOTICS-GENERAL, 07/03/2013, 23:30, 304 YORK ST, Closed by Arrest, 0213001688-OF
07/04/2013, GAMBLING OFFENSES-OTHER, 07/04/2013, 01:32, 21 BROADWAY ST, Closed, 0113030474-OF
07/05/2013, THEFT-SHOPLIFTING, 07/04/2013, 22:40, 17 BROADWAY ST, Closed, 0113030601-OF
07/05/2013, POSSESSION OF MARIJUANA, 07/05/2013, 00:03, WEBSTER ST, Closed by Arrest, 0113030611-OF
07/05/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/05/2013, 10:07, 205 PROSPECT ST, Open, 0213001702-OF
07/05/2013, INTERFERING WITH AN OFFICER, 07/05/2013, 16:40, 185 ELM ST, Closed by Arrest, 0113030686-OF
07/05/2013, POSSESSION OF ALCOHOL BY A MINOR, 06/29/2013, 21:33, 48 ASHMUN ST, Closed, 0113029792-OF
07/06/2013, INTERFERING WITH AN OFFICER, 07/06/2013, 00:16, 1265 CHAPEL ST, Closed by Arrest, 0113030779-OF
07/06/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 07/06/2013, 13:21, 320 YORK ST, Open, 0213001712-OF
07/06/2013, CRIMINAL TRESPASS, 07/05/2013, 22:09, 320 TEMPLE ST, Closed, 0213001707-OF
07/07/2013, DRIVING WHILE INTOXICATED-ALCOHOL, 07/06/2013, 22:22, GEORGE ST, Closed by Arrest, 0113030923-OF
07/07/2013, THEFT-SHOPLIFTING, 07/06/2013, 01:50, 15 BROADWAY, Closed, 0113030787-OF
07/07/2013, POSSESSION OF NARCOTICS-GENERAL, 07/07/2013, 01:01, 66 ASHMUN ST, Closed by Arrest, 0213001717-OF
07/07/2013, DISCHARGING FIREWORKS, 07/04/2013, 14:10, 450 LIGHTHOUSE RD, Closed, 0113030523-OF
07/07/2013, CRIMINAL TRESPASS, 07/07/2013, 19:16, 302 YORK ST, Closed by Arrest, 0213001724-OF
07/08/2013, THREATENING, 07/08/2013, 08:58, 221 WHITNEY AVE, Closed, 0213001727-OF
07/09/2013, THEFT UNIVERSITY RESIDENCE BUILDING, 07/09/2013, 15:08, 330 COLLEGE ST, Closed, 0213001737-OF
07/09/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/09/2013, 15:58, 180 YORK ST, Open, 0213001738-OF
07/09/2013, INTERFERING WITH AN OFFICER, 07/09/2013, 19:42, 281 TEMPLE ST, Closed by Arrest, 0113031385-OF
07/10/2013, THEFT-SHOPLIFTING, 07/10/2013, 11:12, 1071 CHAPEL ST, Closed by Arrest, 0113031463-OF
07/10/2013, CRIMINAL TRESPASS, 07/10/2013, 19:34, 380 COLLEGE ST, Closed, 0213001754-OF
07/11/2013, POSSESSION OF MARIJUANA, 07/11/2013, 00:42, 300 YORK ST, Closed by Arrest, 0213001759-OF
07/11/2013, THEFT-RESIDENCE, 07/10/2013, 21:26, 100 HOWE ST, Closed by Arrest, 0113031574-OF
07/11/2013, POSSESSION OF NARCOTICS-GENERAL, 07/11/2013, 00:14, 66 ASHMUN ST, Closed by Arrest, 0213001758-OF
07/11/2013, POSSESSION OF MARIJUANA, 07/10/2013, 23:23, 66 ASHMUN ST, Closed by Arrest, 0213001757-OF
07/11/2013, POSSESSION OF MARIJUANA, 07/11/2013, 01:26, 20 TOWER PKY, Closed by Arrest, 0213001760-OF
07/11/2013, DISORDERLY CONDUCT, 07/10/2013, 22:27, 89 TOWER PKY, Closed, 0213001756-OF
07/11/2013, THEFT OF CREDIT CARDS, 07/11/2013, 18:17, ***UNKNOWN***, Closed, 0113031700-OF
07/12/2013, THEFT OF SERVICES, 07/12/2013, 01:53, 56 BROADWAY ST, Closed, 0113031764-OF
07/12/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 07/12/2013, 10:40, 79 HOWE ST, Closed, 0213001775-OF
07/12/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/12/2013, 12:44, 150 MUNSON ST, Open, 0213001777-OF
07/13/2013, WARRANT SERVICE, 04/10/2013, 12:58, COLLEGE ST, Closed by Arrest, 0113016432-OF
07/13/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 07/13/2013, 11:45, 81 WASHINGTON AVE, Open, 0213001789-OF
07/13/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 07/13/2013, 11:25, 81 WASHINGTON AVE, Open, 0213001788-OF
07/13/2013, OTHER LIQUOR OFFENSES, 07/13/2013, 16:37, 1177 CHAPEL ST, Closed by Arrest, 0113032020-OF
07/13/2013, CRIMINAL TRESPASS, 07/13/2013, 19:35, 356 ELM ST, Closed by Arrest, 0113032055-OF
07/14/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 07/09/2013, 12:57, 200 PROSPECT ST, Open, 0213001736-OF
07/15/2013, TAMPERING WITH A MOTOR VEHICLE, 07/15/2013, 04:17, 79 HOWE ST, Closed, 0213001800-OF
07/15/2013, THEFT UNIVERSITY ACADEMIC BUILDING, 07/15/2013, 13:59, 150 SARGENT DR, Open, 0213001809-OF
07/15/2013, THEFT-AUTO ACCESSORIES, 07/15/2013, 21:06, 800 HOWARD AVE, Closed, 0213001812-OF
07/16/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/16/2013, 15:24, 333 CEDAR ST, Closed, 0113032486-OF
07/16/2013, OTHER LIQUOR OFFENSES, 07/16/2013, 17:29, 241 CROWN ST, Closed, 0113032507-OF
07/16/2013, WARRANT SERVICE, 07/16/2013, 17:29, CROWN ST, Closed by Arrest, 0107001731-OF
07/16/2013, THEFT-GREATER-BICYCLES, 07/16/2013, 20:41, 9 HILLHOUSE AVE, Closed, 0113032543-OF
07/17/2013, INTERFERING WITH AN OFFICER, 07/16/2013, 23:46, 1143 CHAPEL ST, Closed by Arrest, 0113032564-OF
07/17/2013, WARRANT SERVICE, 07/17/2013, 00:21, 875 CHAPEL ST, Closed by Arrest, 0112041952-OF
07/17/2013, NEGLECT OR ABUSE OF FAMILY OR CHILD, 07/17/2013, 14:26, 139 ASHMUN ST, Open, 0113032661-OF
07/17/2013, HARASSMENT, 07/17/2013, 14:55, 405 CANNER ST, Open, 0213001828-OF
07/17/2013, ATTEMPTED THEFT, 07/17/2013, 19:47, 260 WHITNEY AVE, Closed by Arrest, 0213001830-OF
07/18/2013, CRUELTY TO ANIMALS, 07/18/2013, 10:54, CEDAR ST, Closed by Arrest, 02130032813-OF
07/18/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 07/18/2013, 15:28, 300 COLLEGE ST, Closed, 0213001839-OF
07/19/2013, HARASSMENT, 07/17/2013, 13:52, 150 HIGHLAND ST, Open, 0213001827-OF
07/19/2013, THREATENING, 07/19/2013, 10:16, 344 WINCHESTER AVE, Closed, 0213001851-OF
07/19/2013, BURGLARY-SCHOOL/COLLEG E/UNIVERSITY-NON FORCIBLE, 07/19/2013, 12:29, 205 ELM ST, Open, 0213001854-OF
07/19/2013, BREACH OF PEACE, 07/13/2013, 23:02, 73 SACHEM ST, Closed by Arrest, 0213001794-OF
07/19/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 07/19/2013, 16:19, 100 TOWER PKWY, Closed, 0213001858-OF
07/19/2013, CRIMINAL TRESPASS, 07/19/2013, 21:15, WHALLEY AVE, Closed by Arrest, 0113033081-OF
07/20/2013, WARRANT SERVICE, 07/20/2013, 00:52, 52 HOWE ST, Closed by Arrest, 0112058834-OF
07/20/2013, DISPUTE-NO DISTURBANCE, 07/20/2013, 13:34, 200 CONRAD DR, Closed, 0213001864-OF
07/20/2013, THEFT GREATER SHOPLIFTING, 07/20/2013, 20:32, 1046 CHAPEL ST, Closed by Arrest, 0113033258-OF
07/21/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 07/21/2013, 01:33, PARK ST, Open, 0113033311-OF
07/22/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 07/22/2013, 01:27, 174 PARK ST, Open, 0113033454-OF
07/22/2013, WANTED PERSON OTHER TOWN, 07/22/2013, 08:51, ELM ST, Closed, 0113033479-OF
07/22/2013, THEFT-BICYCLE, 07/22/2013, 14:22, 330 COLLEGE ST, Open, 0213001872-OF
07/22/2013, THEFT-BICYCLE, 07/22/2013, 15:12, 330 COLLEGE ST, Open, 0213001873-OF
07/22/2013, CRIMINAL TRESPASS, 07/20/2013, 09:43, 1035 CHAPEL ST, Closed by Arrest, 0213001862-OF
07/22/2013, THEFT-GREATER-RESIDENCE, 07/22/2013, 20:14, 575 PROSPECT ST, Closed, 0213001877-OF
07/23/2013, CRIMINAL TRESPASS, 07/23/2013, 00:41, 81 CENTRAL AVE, Closed, 0213001882-OF
07/23/2013, SUBPOENA SERVICE, 07/23/2013, 09:48, 104 WASHINGTON AVE, Closed by Arrest, 0113033655-OF
07/23/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 07/23/2013, 10:51, 143 ELM ST, Closed, 0213001888-OF
07/23/2013, THEFT-GREATER-BICYCLES, 07/23/2013, 20:25, 333 CEDAR ST, Closed, 0213001896-OF
07/23/2013, CRIMINAL TRESPASS, 07/23/2013, 20:39, 280 YORK ST, Closed by Arrest, 0113033735-OF
07/24/2013, OTHER INVESTIGATION, 06/22/2013, 17:31, 358 COLLEGE ST, Open, 0213001829-OF
07/24/2013, DISORDERLY CONDUCT, 07/24/2013, 13:22, 1111 CHAPEL ST, Closed by Arrest, 0213001903-OF
07/24/2013, BREACH OF PEACE, 07/24/2013, 15:56, 70 TOWER PKY, Closed by Arrest, 0213001905-OF
07/24/2013, BURGLARY-RESIDENCE-NON FORCIBLE, 07/24/2013, 20:02, 205 ELM ST, Open, 0213001907-OF
07/25/2013, THEFT-GREATER-FROM PERSON, 07/25/2013, 12:46, 70 TOWER PKY, Open, 0113034018-OF
07/25/2013, THEFT GREATER MISCELLANEOUS, 07/25/2013, 16:00, 21 BROADWAY ST, Open, 0113034040-OF
07/26/2013, OTHER INVESTIGATION, 07/26/2013, 01:46, 228 PARK ST, Closed, 0213001918-OF
07/26/2013, CRIMINAL TRESPASS, 07/26/2013, 08:08, 70 TOWER PKWY, Closed by Arrest, 0213001921-OF
07/26/2013, THEFT-GREATER-BICYCLES, 07/26/2013, 17:24, 11 LAKE PL, Open, 0113034218-OF
07/27/2013, POSSESSION OF MARIJUANA, 07/26/2013, 23:27, 301 CROWN ST, Closed by Arrest, 0113034283-OF
07/27/2013, BREACH OF PEACE, 07/26/2013, 19:35, 286 PARK ST, Closed by Arrest, 0113034238-OF
07/27/2013, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 07/27/2013, 18:53, 205 ELM ST, Closed, 0213001935-OF
07/27/2013, THEFT-GREATER-ATTEMPTED, 07/27/2013, 18:42, GROVE ST, Closed by Arrest, 0113034378-OF
07/27/2013, POSSESSION OF MARIJUANA, 07/27/2013, 23:02, 635 DIXWELL AVE, Closed by Arrest, 0113034398-OF
07/29/2013, POSSESSION OF ALCOHOL BY A MINOR, 07/29/2013, 01:16, CHAPEL ST, Closed, 0113034554-OF
07/29/2013, WARRANT SERVICE, 07/29/2013, 05:02, DAY ST, Closed by Arrest, 0113028934-OF
07/29/2013, WARRANT SERVICE, 07/29/2013, 05:06, DAY ST, Closed by Arrest, 0113026789-OF
07/29/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 07/29/2013, 12:07, 200 PROSPECT ST, Open, 0213001949-OF
07/29/2013, OTHER LIQUOR OFFENSES, 07/29/2013, 19:56, 350 GEORGE ST, Closed, 0113034676-OF
07/30/2013, THEFT UNIVERSITY ACADEMIC BUILDING, 07/30/2013, 10:32, 120 HIGH ST, Open, 0213001959-OF
07/30/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/30/2013, 15:12, 100 WALL ST, Closed, 0213001962-OF
07/30/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 07/30/2013, 17:00, 206 LAFAYETTE ST, Closed, 0213001963-OF
07/30/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 07/30/2013, 17:41, 63 HIGH ST, Closed, 0213001964-OF
07/30/2013, WANTED PERSON OTHER TOWN, 07/30/2013, 22:46, 293 ORANGE ST, Closed by Arrest, 0113034924-OF
07/31/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 07/17/2013, 13:39, 205 ELM ST, Open, 0213001968-OF
08/01/2013, ATTEMPTED THEFT, 07/31/2013, 21:35, 90 DWIGHT ST, Closed by Arrest, 0113035155-OF
08/01/2013, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 08/01/2013, 10:45, 68 HIGH ST, Open, 0213001980-OF
08/02/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 08/02/2013, 00:28, 205 ELM ST, Closed, 0213001982-OF
08/02/2013, THEFT UNIVERSITY ACADEMIC BUILDING, 08/02/2013, 10:19, 100 WALL ST, Closed, 0213001987-OF
08/02/2013, BREACH OF PEACE, 08/02/2013, 16:08, SOUTH FRONTAGE RD, Closed by Arrest, 0113035431-OF
08/02/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 08/02/2013, 21:32, 250 CROWN ST, Closed by Arrest, 0113035503-OF
08/03/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 08/03/2013, 16:48, 67 HOWE ST, Closed, 0213001998-OF
08/03/2013, CRIMINAL TRESPASS, 08/03/2013, 21:50, 81 CENTRAL AVE, Closed, 0213001999-OF
08/04/2013, ATTEMPTED THEFT, 08/04/2013, 10:28, 65 LAKE PL, Open, 0113035734-OF
08/04/2013, HARASSMENT, 08/04/2013, 17:21, 305 MANSFIELD ST, Open, 0213002003-OF
08/05/2013, WINDOW BREAKING, 08/04/2013, 22:11, 36 EDGEWOOD AVE, Closed, 0213002007-OF
08/06/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 08/06/2013, 10:23, 37 COLLEGE ST, Open, 0213002012-OF
08/06/2013, CRIMINAL TRESPASS, 08/06/2013, 18:25, 168 GROVE ST, Closed by Arrest, 0213002017-OF
08/07/2013, DISPUTE-NO DISTURBANCE, 08/07/2013, 07:39, 320 YORK ST, Closed, 0213002020-OF
08/07/2013, SIMPLE ASSAULT, 08/07/2013, 08:05, 164 HIGHLAND ST, Closed, 0113036185-OF
08/08/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 08/07/2013, 13:52, 800 HOWARD AVE, Open, 0213002023-OF
08/08/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 08/07/2013, 09:49, 800 HOWARD AVE, Open, 0213002028-OF
08/08/2013, THEFT-BICYCLE, 08/08/2013, 12:30, 70 TOWER PKY, Open, 0213002030-OF
08/08/2013, CRIMINAL TRESPASS, 08/08/2013, 20:06, 300 COLLEGE ST, Closed by Arrest, 0213002037-OF
